"","M1","M11","M12","M13","M14","M15","M16","M17","M18","M19","M2","M20","M21","M22","M23","M24","M26","M27","M3","M4","M5","M6","M7"
"GSM364652",0.0548803458414639,-0.06432926343119,0.0626468957126381,-0.0838363361820718,-0.0927699776930751,-0.0198348352924918,-0.0241314662129067,-0.0891017080774415,0.00738850714770226,-0.101075388993438,0.0381542509581661,-0.0955907776295699,-0.109681282965103,-0.090022684944661,-0.0963029627598932,-0.0867704579855849,0.0121178740926756,-0.0863337016691258,0.103393889474229,0.074165056956299,0.101826015512372,0.174343201574027,0.0611713269086057
"GSM364653",0.112569235516388,-0.0341237847173057,0.0510350489157668,-0.0381379236251128,-0.022892011180057,-0.0112181784704414,-0.00428235085760412,-0.0551443488116584,-0.0156018387997589,-0.0697097125565516,0.0878479945143591,-0.0385896302347684,-0.0180258729211527,-0.037346636651588,-0.0597360121088152,-0.0352463545680492,-0.0423619428752084,-0.0637528036994748,0.0341612659836225,0.113485091704797,0.111202946379072,0.00181939097263466,0.0996816352263748
"GSM364654",0.0587528775339316,-0.0640258182354169,0.0723352575771849,-0.0343846953868759,0.0177635023368791,-0.0236351479885166,-0.0190478289401397,-0.100982006762483,0.0337402038111025,-0.121022218889448,0.0732262319138973,-0.0923734923593987,-0.11894355128898,-0.0490992545767438,-0.0909213870140086,-0.0964903446641147,-0.0662457024984539,-0.0429068450149408,0.0820734766324638,0.0655309723060077,0.00528552637752012,0.0627531748530664,0.0327805014043266
"GSM364655",0.0167419247944755,-0.0619346796083688,0.0469871022708556,0.0278656114912331,-0.0187522230759782,-0.0223396946029027,0.0307670757168478,-0.017924825930546,0.0940832978239344,0.00361088068055484,-0.0208314743096264,-0.00583487435755592,-0.024040908426571,0.0116150420830457,-0.00180883717200831,-0.0444518182139065,0.0135585142418148,-0.065198577917046,0.0443387920438156,-0.0152836391161441,-0.030721708136976,0.0394118004069018,-0.0210572364952733
"GSM364656",0.0882313494302208,-0.0549665533658508,0.105790864861147,-0.02593517256803,-0.0167994165796985,0.022973912149415,-0.0132923675283043,-0.0450599248559875,0.0341309235806983,-0.0339196179464724,0.0610410445805332,-0.0624115793831199,-0.052184066491123,0.0203808779863854,-0.0572673836624187,-0.0719633973275559,0.0192077080139779,-0.0403083856947132,0.0943946294692133,0.0718205375783606,0.0582461387170216,0.101417315716158,0.0043743031905987
"GSM423010",-0.0609090948765511,-0.0327914143617193,0.00154468645749226,0.0865320803698857,0.0745766641532663,0.0903674500856275,-0.00430866900122615,-0.10678455692787,0.0366053651734677,-0.107149634529958,-0.00955988361620341,-0.0406871836769405,-0.084829669045518,-0.0552991490267845,0.0450678094254453,-0.0516713707037031,-0.116139704144788,0.016220466468809,0.0311736316957282,-0.0201328125803087,-0.0527091396113024,0.0909123228188826,-0.0380830490688942
"GSM423012",-0.056791088646187,-0.0563329998415078,0.0224961494146566,-0.0272916211918952,-0.00219988454520023,-0.043134049413043,0.0319827444907259,-0.0196568487548875,-0.0281095507447117,-0.0220604201384521,0.0661745320975311,-0.0194524176011246,-0.0190231235672501,0.00480447630637369,-0.0266853791799952,-0.0314463789337931,-0.0354641957152741,0.0209522263320178,0.0619238723945033,0.0240816397944556,-0.0447483297700106,0.0896502686942475,-0.047444624293615
"GSM423013",0.0273845048906901,-0.0626744976366412,-0.00100348047243454,-0.125011230529221,-0.0966979469506284,-0.114337597880233,0.0758929926466902,0.16265884262198,0.00414888020250482,0.138479968022969,-0.043681075516555,0.0387595197877853,0.0656294046398315,0.0576999922798345,-0.13729805344167,-0.0304498772568219,0.158944095836992,-0.0940367292243833,-0.0367707534197138,-0.0169171431176423,0.00611359315020456,-0.019790552542385,0.0980276833251335
"GSM423015",-0.0148707518406323,-0.0489343852681031,0.0204609134450585,0.0424212595069068,0.0786258342506279,-0.0409191141071295,0.0912482295400796,0.0236703715065277,0.0908550550961736,0.0387167456784951,-0.0752622887786024,0.0656150092828518,0.0442795725000935,0.0863198865156486,0.0885903543037656,0.0133889614311307,0.00236805602082427,-0.0502460713010537,-0.060145923754854,-0.0297681544476714,-0.0220803650464362,-0.0593902237092816,0.0734787736676738
"GSM423017",-0.0464857916027408,-0.0591093740316167,-0.0561656215589008,0.175003347134369,0.24413402841567,-0.0093796378871308,0.0552188181191087,-0.0840861524047339,0.0051011508491294,-0.0590935993332771,0.0437497843077369,-0.0157274854562365,-0.0570576335728684,-0.0306482153046156,0.0683620932559374,-0.0452640577913353,-0.182948772537053,0.0133552298759692,-0.0165244786751055,0.0265245339477915,-0.0256139203650331,-0.0212925938055004,-0.111157627276917
"GSM423019",-0.00285766742224976,-0.05736830519492,0.0363346256019066,-0.0662701745169127,-0.0683512855445931,-0.119065470872374,0.0367624163495519,0.0502312614973541,0.0769370156370676,0.0396810872031446,-0.0586808082185055,0.00864096721813591,-0.00920910404650714,-0.00335977183436609,-0.0145348669822754,-0.0442909263278048,0.067883489644583,-0.0977813907351443,-0.0142461203785294,-0.0350673455780203,-0.00614928071523515,0.00631323231959164,0.117930611272424
"GSM423021",0.0161252545980349,-0.0558276852039838,0.00698058089771161,-0.0425206288964924,-0.0551673255648499,-0.0935320205741223,0.0825171168254658,0.09353804287861,0.0892868174837207,0.114115017556362,-0.0608260074521747,0.0568687471180263,0.0580816511811066,0.0585314842300715,-0.055377829781045,-0.0119477168271522,0.0983040295933247,-0.0824265209176882,-0.0427111663494482,-0.0199769924687321,-0.0229489723901866,-0.0394819616808643,0.0217628991818987
"GSM423023",-0.0114904768270565,-0.0384477842761119,0.0128549111974084,0.0738147299422426,0.0627414604870233,-0.0436427860456687,0.0760768197786048,-0.0239051525977285,0.0199017424192304,-0.00772644097341608,-0.0638407870244693,0.0630073700264863,0.0310725832221665,0.0658124446466711,0.100314934958502,0.0180645988442429,-0.0141651952448715,-0.025670586600795,-0.0542571720419303,-0.016631273903411,-0.0282672030472614,-0.0548152804518018,0.0881437704368858
"GSM423025",-0.0360224100836614,-0.0583454450324232,-0.0218408894637456,-0.0643960862679633,-0.0429924668170288,-0.0947043109446114,0.061477290410277,0.100006886899587,0.107551028015979,0.0766430233457136,-0.0845386174859588,0.0284235922570563,0.0105995130855133,-0.000188312552731249,-0.0252102484057279,-0.0384411151241127,0.0940124278993424,-0.10912894549095,-0.0779774939982799,-0.040497005431267,-0.0347000734713961,-0.0663884943923137,0.00803539090201592
"GSM423027",-0.0380709284858389,-0.0495276066629356,-0.00889777635996024,-0.10141825446935,-0.112068780137879,-0.0678101704535612,0.0954074946754557,0.108622669514986,-0.00765896057933115,0.104736508221159,0.0199707429951119,0.0577422484418601,0.0895443716876197,0.129168842904138,-0.0187782568296544,0.0234978874082624,0.0967930481277878,-0.0252000789714359,-0.00694843637408014,0.0143270385288158,-0.00607099043313407,-0.00667036238359921,0.029866557257861
"GSM423029",-0.0106529112061558,-0.0632408754993314,0.0356619948449987,0.0408260655205833,0.0551212576037089,-0.0228617395885322,0.04938643331375,-0.04385504760172,0.10161316687633,-0.0358756669145023,-0.00244847320946676,0.00322762303887733,-0.0214600314016886,0.0400971774567939,-0.00345934826739258,-0.0300303521739419,-0.0428377352581636,0.0153588201851385,0.0287994576930428,-0.0181525406889867,-0.0557224577334915,0.0249090910578553,-0.0866531181381709
"GSM423031",0.0145942760156598,-0.0647729013655854,0.0361457345616526,-0.0211338304996864,-0.0517801713373264,-0.036779500816612,0.0170467161859564,0.0802028013742965,0.0865441522323719,0.066085569821739,-0.00234137961991881,-0.0253154528036362,-0.0161494483346287,0.000196320004902849,-0.115753985257518,-0.0772695411090344,0.109633395013442,-0.110029358548087,0.00708032321854746,0.00283366212016474,-0.00855734152307554,0.0024201284625743,-0.0542692453149762
"GSM423033",0.104839155000764,-0.0614223223763365,0.0715063028698628,-0.144854704621709,-0.160658687632924,0.0182743257321807,-0.0294709247198518,0.0568286927006142,-0.00110862160946747,0.0343902127935259,0.0855337513121304,-0.0985160894358169,-0.0431825081231254,-0.0455881377385936,-0.142543150169369,-0.126260902983663,0.106614745728145,-0.139675371494454,0.06352838651687,0.105857761007257,0.102063453781086,0.0644426624039746,0.0989637840394619
"GSM423035",0.190016440478302,-0.0611025291918541,0.153997523824989,-0.0611967406386588,-0.0734309389046992,-0.0361507275141712,-0.0442347542609996,-0.0899152025850708,0.0247069885382283,-0.120831898615194,0.255300670878396,-0.199538230782435,-0.142203632607559,-0.0798889903839889,-0.11367582430775,-0.144329473232804,0.0206529301849619,-0.0696430883062054,0.210840325120456,0.244513731191237,0.190075048604625,0.110655860244455,-0.0319119292120191
"GSM423037",0.121919160654318,-0.0463184081975574,0.0750727325507977,-0.0923813193181449,-0.0883334780782836,-0.01981980351769,-0.0164600353104772,0.00768084926925103,0.0376913961028136,-0.00521797175305567,0.181114129855576,-0.114735833216265,-0.0545897129866842,-0.056174725859591,-0.101606166043278,-0.0770919379837177,0.0551689472501719,-0.0986016098650229,0.111103126459577,0.190511837928087,0.170054733639452,0.0703249371010845,0.128844276939172
"GSM423039",0.0207834336423633,-0.0546749102051884,0.0308941667275925,0.0352375753665833,0.0153917708173535,-0.064882567310556,0.0601018649065206,0.0233218740999014,0.0557973381226178,0.0316970606017796,0.0119624156282602,-0.0198150544189519,-0.0244345114413393,0.0119398314489955,-0.0518427609241698,-0.0342123384731022,0.0351348542813663,-0.0467507565514778,0.0604379874661304,0.0393069300093952,0.0583699950769892,0.0852367626897984,0.0811315449081504
