"Gene","Module","p","p.adj","coef","AUC"
"CMTM2","M5",0.0578208609164171,0.372973115389315,-0.125715824004766,0.667350427350427
"HIF1A","M20",0.00296986402125735,0.15460071595437,-0.0115467198202606,0.667350427350427
"IL17D","M8",0.00105473402793563,0.121416646649503,0.72378493497266,0.667350427350427
"LPIN1","M20",0.000666644102288542,0.120872623709982,-0.0769466468821284,0.667350427350427
"SH3RF3","M2",0.00200705429107766,0.142487697171398,-0.727505219350045,0.667350427350427
"TNIP3","unassigned",0.00833363777860672,0.188100595203895,-0.0104087039429688,0.667350427350427
"MT-CO3","M23",0.000347466879627248,0.120872623709982,0.000123420111633266,0.667179487179487
"VGLL3","M20",0.000357860461757091,0.120872623709982,-2.0830858678793,0.667179487179487
"CKB","M16",0.00068341495789344,0.120872623709982,0.0021922354256941,0.667008547008547
"THY1","M4",0.00373254489509736,0.157984296232163,-0.0280344381870124,0.667008547008547
"FBXW7","M6",0.00132004913274985,0.122988546239586,-0.198311612302443,0.666837606837607
"ECI1","M20",0.00101555418597317,0.120872623709982,0.0717297996319865,0.666666666666667
"ACSL1","M4",0.0901925521752686,0.439945541683109,-0.0215843972412432,0.666495726495727
"DRAM1","unassigned",0.00126726176350947,0.122855141783724,-0.117669348091522,0.666495726495727
"TM6SF2","M11",0.169700631882747,0.554960167784666,0.164908333720076,0.666495726495727
"CXCL8","M1",0.559201028577239,0.834384279999034,-0.00121596609587281,0.666324786324786
"LRP8","unassigned",0.000963665073446141,0.120872623709982,-0.255143890684353,0.666324786324786
"PRR15","M20",0.00067215109870603,0.120872623709982,0.040874843430207,0.666324786324786
"BNIP3","M20",0.000917981690770532,0.120872623709982,-0.162432153659802,0.665811965811966
"PIN4","unassigned",0.000660516716875393,0.120872623709982,0.261480078766443,0.665641025641026
"CEBPE","unassigned",0.0014225565364878,0.124323032087833,1.7809241372593,0.665470085470085
"GJA4","M20",0.00132423204354904,0.122988546239586,-0.335928164045548,0.665470085470085
"DHRS11","M24",0.000589412963784594,0.120872623709982,0.0425167277550439,0.665299145299145
"MT-RNR1","M37",0.000467668252540356,0.120872623709982,0.000764674824832429,0.665299145299145
"MMP28","M20",0.000661250863292456,0.120872623709982,0.100916435865743,0.665128205128205
"BCL2A1","M20",0.171053609382499,0.556920918343718,-0.0186223632692411,0.664957264957265
"GSTO2","M20",0.000828433611561469,0.120872623709982,0.254564932275213,0.664957264957265
"HSBP1L1","M16",0.000582696075149188,0.120872623709982,0.0833948003386788,0.664957264957265
"CRYL1","M24",0.00151164407143487,0.126789237379486,0.0665761707368479,0.664615384615385
"ERO1A","unassigned",0.0010973710318557,0.121416646649503,-0.0133953972531471,0.664444444444445
"FCN3","M5",0.00124918800284713,0.122549058824504,-0.37318602099763,0.664444444444444
"DDC","M20",0.00253804039618469,0.147739219499363,0.0835392747584249,0.664273504273504
"TNFRSF10C","M20",0.167211566878521,0.551983555084002,-0.0668223709448552,0.664273504273504
"ELFN1","M20",0.00128291597686961,0.122988546239586,-3.64337505839629,0.664102564102564
"FKBP11","unassigned",0.000453128481876434,0.120872623709982,-0.0217487466137507,0.664102564102564
"INPP5J","M24",0.00105238055334313,0.121416646649503,0.455327997661163,0.664102564102564
"NCOA7","M1",0.0126642791896338,0.216297673870348,-0.0181719353473472,0.664102564102564
"C6orf136","M20",0.00047332145161658,0.120872623709982,0.102096060640881,0.663504273504274
"PNLIPRP2","M11",0.00282458067060247,0.154187340545103,0.444488754148077,0.663504273504274
"CD59","unassigned",0.00178299269452392,0.136758839438457,-0.00829423775698063,0.663418803418803
"ZNF57","unassigned",0.000559078398152968,0.120872623709982,0.493393693131387,0.663418803418803
"LRRC75A-AS1","M38",0.000989295741771837,0.120872623709982,0.00883224380090925,0.663247863247863
"MMP10","unassigned",0.00137955699800899,0.122988546239586,-0.0360934030803166,0.663247863247863
"MPND","M20",0.000339816372272764,0.120872623709982,0.156587410226231,0.663247863247863
"PCSK1N","unassigned",0.000626475209164393,0.120872623709982,0.190732154487884,0.663247863247863
"PPP1R36","M20",0.000810980088727688,0.120872623709982,0.840072101343698,0.662649572649573
"CD93","M2",0.0112812269229048,0.208069696980097,-0.0802083334621158,0.662564102564103
"LOXL2","M4",0.0012494615244806,0.122549058824504,-0.0573481977401105,0.662564102564103
"MARK1","unassigned",0.00707480416997548,0.174327046379571,-1.14160414592271,0.662564102564103
"TSPAN7","unassigned",0.000656556733992673,0.120872623709982,0.0758154356982793,0.662564102564103
"GUCA2B","M20",0.015533515429777,0.232315247125761,0.0250529406738718,0.662393162393162
"IL1B","M1",0.581045207805155,0.847723933525597,-0.00120235100653449,0.662393162393162
"PQLC1","M16",0.00045753907857895,0.120872623709982,0.164736406114586,0.662051282051282
"FABP5","M19",0.000884843133220662,0.120872623709982,0.0282828254886751,0.661880341880342
"CD300E","M4",0.851972403166344,0.954849334180259,-0.00620475268035063,0.661709401709402
"ALOX15","unassigned",0.00100084438721029,0.120872623709982,1.08229647526661,0.661538461538462
