"","M1","M11","M12","M13","M14","M15","M16","M17","M18","M19","M2","M20","M21","M22","M23","M24","M26","M27","M3","M4","M5","M6","M7"
"GSM1900217",-0.0137347253216687,-0.0687472095698838,-0.0114799195606825,-0.0749121728667342,-0.0728123561799475,-0.0776205478880335,-0.00309555455862384,0.033171846794327,0.0215957878765999,0.0198416708348483,-0.0239506341122212,0.0173340996135341,0.0222901210135378,0.0113833149438912,0.0263932364862807,0.00583265842336925,0.0531720679474442,0.0412689699348111,0.00127963555874078,-0.0212979523930612,-0.0040921959060664,0.0171690084066653,0.020566046938836
"GSM1900227",-0.0143495760705779,-0.059548390956998,0.0272590030589113,0.00343906139899824,0.00823481718954781,0.0306578450050252,-0.0285913233833379,-0.0237753628861135,-0.0290534595032255,-0.0379976038721598,0.0623499360292515,-0.0173296524570576,-0.00494295997270433,-0.00218858842247363,-0.00689856692928173,-0.0221392948103691,-0.0362819354533508,-0.0209740531518729,0.0201268660135478,0.039817405349285,-0.00167891880017945,-0.0151931937693146,0.00677173794184445
"GSM1900230",-0.00916541061529941,-0.0148201883168701,-0.0915023816800412,-0.00852347255874717,0.0223744429563006,0.0419858963088314,0.00462531945462612,0.0130239621572047,-0.00637849881300871,0.00958426623790079,0.0333120624556965,0.0228093157377335,0.0322677936137859,0.0140323825321653,-0.0513020281667708,0.0161162078378816,-0.0130132909085091,-0.00925960470544487,-0.0341416337348385,-0.0191033839181973,-0.0551373170328774,-0.0961465227088204,-0.0515235488987766
"GSM1900233",0.211991042115141,-0.0239872105809857,0.0663352537037491,0.0435417606325895,0.0177521619732864,0.0360742848630796,-0.152036218654236,-0.168599664278778,-0.125846782446673,-0.176297629757147,0.16752352777567,-0.173725975096177,-0.140428650477593,-0.167106871847401,0.155012939927698,-0.147146678722895,-0.133108498739699,-0.114371946373063,0.167083205244194,0.214265607608672,0.200446732907771,0.0966044885117334,0.0539212443865318
"GSM1900236",-0.0979726316946122,0.0031209328984136,-0.0823872311025458,0.0223243956244682,0.0513022621682793,0.0459242798989591,0.0623285199659293,-0.0146877466639814,0.0631375402267613,0.00587412678232831,-0.0833541807406187,0.0703726645680561,0.0569218103542732,0.0347388859374804,-0.0951855796847991,0.0866567390456503,-0.0533242001149682,0.0329527799043021,-0.103799951571371,-0.0605738448267053,-0.0779876285837683,-0.0957801478313204,-0.0185620597671389
"GSM1900239",-0.0207792036443727,-0.0577041941256462,0.000839684811900585,0.00327013447764625,0.0597380809328663,0.0554807131152804,-0.0325579138341875,-0.0130743161882208,-0.0150195740955448,-0.0133104444398825,-0.0208709514427642,-0.00691212159769287,-0.0377682996476798,-0.0504199629085964,0.0106542481951966,-0.0311072433560508,-0.0160195285314647,-0.0603479396582139,-0.0214508283871136,-0.0220254769450943,-0.0342703134210882,-0.00305101498147738,0.0058897385105933
"GSM1900241",0.031962784848618,-0.0476928874501145,0.0389116997119267,0.0291648948400263,0.03361234084582,0.0829547200963646,-0.0596884692029305,-0.0333362787048172,-0.0784870848491572,-0.0400600381526507,0.0682274451189457,-0.0415086497370689,-0.0139400220048834,-0.0280849672600467,0.0296314487763927,-0.0380796672899943,-0.0343610740417737,-0.00588825380542125,0.0506799004252062,0.0563500610238917,0.0350052220769591,0.0479053989250166,0.0725657632429446
"GSM1900244",0.0534465157167659,-0.0677737321387484,0.0240555716156735,-0.0446631621825132,-0.0114671591936798,-0.0100220398997207,-0.0628448356415561,-0.0287482025918047,-0.0224752636186044,-0.0457071687606532,0.0557891389812164,-0.0462323981225391,-0.0586868242531936,-0.0584019618587909,0.0141915449492248,-0.0618407029096805,-6.21295713026389e-06,-0.0713972055722623,0.0280565058219417,0.0489817902968382,0.0559960137421931,-0.00538303241729371,0.0729550828107049
"GSM1900246",-0.0322045075010575,-0.0129832123355703,-0.0367956760665647,0.087878962654018,0.130768998044654,0.115578711484075,0.0158155041885126,-0.0427327793529724,0.0614310045375312,-0.0032878119744545,-0.02842220571449,0.0290030815256491,0.0222138382303919,-0.0296091039186586,-0.0535011155308743,0.0334950996791084,-0.0801420406435998,-0.0101878094678911,-0.0501277217508861,-0.0176950303159884,-0.0198563923109841,-0.065491685385438,-0.00184035401380522
"GSM1900248",0.0176913873627891,-0.0212489742801014,0.0232554190634886,0.0274341328822665,-0.00104264926746259,-0.038355618265928,-0.108418477963306,-0.0826657621398645,-0.0941409627959206,-0.10201658114566,0.0421851054401557,-0.100542288197332,-0.122864358856925,-0.112819151452346,0.0737376228350694,-0.120072034961079,-0.0705757102384656,-0.118513079629702,0.084457624351272,0.0408256389223343,0.0235245435555868,0.131127474782478,0.068155411033292
