"Gene","ModuleA","pA","p.adjA","coefA","AUCA","ModuleH","pH","p.adjH","coefH","AUCH","ARank","HRank","RankSum"
"SSPO","unassigned",0.787878299375888,0.896758278798252,0.35445612750167,0.527056277056277,"unassigned",0.0797744058929432,0.416656981959347,-2.29064319230497,0.566495726495727,3009,10188,13197
"AKR1D1","unassigned",0.163626884911907,0.39517737630147,2.43181812103484,0.576839826839827,"unassigned",0.744380494133747,0.916999837987523,-0.273774069474364,0.535897435897436,6918.5,6278,13196.5
"ORC1","unassigned",0.219499667857849,0.462493004117362,0.929428951081152,0.576839826839827,"unassigned",0.854631611995758,0.955569384787089,-0.0282346829789177,0.535897435897436,6918.5,6278,13196.5
"ZNF662","unassigned",0.0550964067234799,0.217553446097943,1.9332600299735,0.648268398268398,"unassigned",0.624396248937811,0.867030773385522,0.0881879349355357,0.500854700854701,11341,1855,13196
"DACH2","unassigned",0.364773231285794,0.607530511954072,-1.78093704953007,0.555194805194805,"unassigned",0.323958731928618,0.698341660163501,-7.52894218214023,0.548547008547009,5212.5,7982,13194.5
"REM2","unassigned",0.403464808762163,0.641473564845857,0.713297895927042,0.529220779220779,"unassigned",0.165901270113375,0.549891007851125,-1.41618728234612,0.564786324786325,3187.5,10006.5,13194
"CASR","unassigned",0.6450466441286,0.815119114088626,0.760138223980179,0.536796536796537,"unassigned",0.0129199969596827,0.218298729582601,5.30652179894415,0.55982905982906,3773.5,9417.5,13191
"PTGIS","M13",0.584525167929332,0.775685763479332,-1.17797818328412,0.531385281385281,"M13",0.154252584068834,0.538381879591811,0.698202949851099,0.563247863247863,3348,9842.5,13190.5
"COX17","M28",0.0361223283073771,0.173380562083227,3.50598851977529,0.678571428571429,"M28",0.555305334585613,0.832949210381534,0.0106293351866748,0.482735042735043,12553,637,13190
"ZNF184","unassigned",0.177395318213648,0.412037315985144,-0.988515583094992,0.596320346320346,"unassigned",0.590519700634225,0.853104906883071,0.13806391616456,0.525897435897436,8313.5,4874.5,13188
"RELN","unassigned",0.634119911638843,0.807111812504802,-0.403041246129786,0.543290043290043,"unassigned",0.338422782301684,0.711875572778536,-0.406471166722139,0.556068376068376,4262,8922,13184
"SAMD15","unassigned",0.0917849097118184,0.288333302348151,3.32003065242523,0.622294372294372,"unassigned",0.982050865151831,0.995688901512095,-0.0211429205192638,0.513846153846154,9945,3238,13183
"LINC01121","M14",0.980165569743256,0.991023202832194,0.0356532690687708,0.495670995670996,"M14",0.0285681027230094,0.28928465205988,-5.43411921692238,0.585641025641026,1231,11950.5,13181.5
"PLK4","unassigned",0.714915947820936,0.85793186413943,0.307987126216797,0.477272727272727,"unassigned",0.0656534533516939,0.392835722061518,-0.144023522073385,0.594017094017094,635.5,12546,13181.5
"SMC2","unassigned",0.69200574814415,0.844511837171864,-0.22732278684813,0.547619047619048,"unassigned",0.278870170452959,0.662971030853721,-0.0621297349332127,0.553675213675214,4562.5,8619,13181.5
"LTBR","M20",0.150211614568789,0.377424678203272,2.44129942203457,0.598484848484849,"M20",0.467714906932869,0.789057642059341,0.00769672683917891,0.524786324786325,8452.5,4721.5,13174
"SEMA3G","M10",0.444912746789087,0.673228781620413,0.219434565262932,0.497835497835498,"M10",0.0693163889263057,0.399007805302268,-0.384664507433084,0.584273504273504,1339,11831.5,13170.5
"FBXW11","unassigned",0.106398670138,0.311531028034362,-1.06897455142018,0.623376623376623,"unassigned",0.90935864724111,0.973385394001239,-0.00615493849513686,0.513162393162393,10008.5,3159.5,13168
"CDK2AP2","M19",0.962280070234989,0.984021542773415,0.0382762519423522,0.523809523809524,"M19",0.134271695867718,0.514476914913463,0.027840055599904,0.568205128205128,2807.5,10359.5,13167
"GINS4","unassigned",0.535239154415669,0.741546433524536,0.725444645562301,0.527056277056277,"unassigned",0.221604576396101,0.61304955400643,-0.153308511466912,0.566153846153846,3009,10155,13164
"BAMBI","unassigned",0.0903415578066092,0.28616328273806,-0.530677309921519,0.628787878787879,"unassigned",0.941654394522894,0.983645533894322,0.00911262929345637,0.510769230769231,10322.5,2841,13163.5
"NFAT5","unassigned",0.512349494686563,0.724978551899784,-0.525480366464886,0.545454545454545,"unassigned",0.234092070915259,0.623671336553177,-0.0839413275342814,0.554529914529915,4429.5,8733,13162.5
"SEPSECS","unassigned",0.0740653042642309,0.256234374539714,1.12439527171163,0.638528138528139,"unassigned",0.893211865145905,0.968771672734745,0.0171357303121258,0.505982905982906,10833.5,2329,13162.5
"TMEM222","unassigned",0.260885683752612,0.507395074163653,1.50530359022398,0.601731601731602,"unassigned",0.601140493426725,0.857957686298618,0.0356571292254819,0.523247863247863,8657.5,4505,13162.5
"NFATC2","M3",0.00854208802599936,0.0780888256427671,-2.95439660597972,0.695887445887446,"M3",0.590313311577271,0.853104906883071,-0.064083557264039,0.461025641025641,13059.5,100,13159.5
"EID2B","unassigned",0.023898477751295,0.138380045106345,-2.86172899547043,0.699134199134199,"unassigned",0.111424501680354,0.477137843183965,-1.11569847863002,0.441367521367521,13140.5,14,13154.5
"MIPOL1","unassigned",0.223401959731451,0.466859478085321,-3.02416653592022,0.612554112554113,"unassigned",0.581835449103072,0.848055225992236,0.137255412299105,0.518290598290598,9369,3785.5,13154.5
"ACSM5","unassigned",0.0311592319938757,0.15990328222893,4.11934288792604,0.649350649350649,"unassigned",0.966058910308054,0.990398793861612,-0.0326824386218081,0.5,11382,1772,13154
"MMADHC","unassigned",0.0692514019096757,0.246414824714521,-2.8485943400499,0.603896103896104,"unassigned",0.860563742486436,0.957675408069995,-0.00299660819700486,0.522222222222222,8793.5,4360.5,13154
"ANKRD36B","unassigned",0.6376921373919,0.809482240507914,0.217500294257372,0.529220779220779,"unassigned",0.330806651878691,0.705629450267855,0.126801752510045,0.564273504273504,3187.5,9966,13153.5
"PARP2","unassigned",0.193407986799879,0.432010508915229,-1.21663650469874,0.58982683982684,"unassigned",0.529232990346623,0.820368936805543,-0.0476800363845272,0.528888888888889,7859,5294.5,13153.5
"ARMC8","unassigned",0.193354778149326,0.432010508915229,-1.20209199489789,0.594155844155844,"unassigned",0.623983326438379,0.866950285405535,0.0282266132682927,0.526666666666667,8155.5,4997,13152.5
"CCDC146","unassigned",0.298026409377619,0.544190549466052,0.835728682499231,0.557359307359307,"unassigned",0.328186253991088,0.702673465128639,0.151848749381562,0.547008547008547,5386.5,7765.5,13152
"SAMD5","unassigned",0.817479930691097,0.912043106707421,0.10318691261079,0.516233766233766,"unassigned",0.0780932855697767,0.412337196218276,0.148669915692745,0.572649572649573,2307,10842.5,13149.5
"GPR85","M14",0.87440121614504,0.942536556112761,0.276178294877251,0.508658008658009,"M14",0.126997734925161,0.505171931683245,-0.841164267667724,0.577264957264957,1882.5,11265.5,13148
"SMAD1","unassigned",0.161004157657856,0.391883574994591,1.44999022176054,0.598484848484849,"unassigned",0.758612363513512,0.922584712251024,0.0127886326727058,0.524615384615385,8452.5,4695.5,13148
"PLIN3","unassigned",0.412821435214507,0.649651661279537,-0.62123090320589,0.555194805194805,"unassigned",0.403641870883606,0.754893579870751,-0.00768106111773618,0.548205128205128,5212.5,7935,13147.5
"BRWD3","unassigned",0.65081787668652,0.818151736621461,0.772051001850379,0.558441558441559,"unassigned",0.250849423966679,0.638916716853531,-0.144628003845075,0.545982905982906,5516,7630.5,13146.5
"C22orf39","unassigned",0.972167486845294,0.988751625220433,-0.0386398754831579,0.53030303030303,"unassigned",0.188818879405974,0.578655335902813,0.0941422065347531,0.563589743589744,3266.5,9879.5,13146
"TMC7","unassigned",0.468943426615144,0.69147943725786,-0.791200913281237,0.547619047619048,"unassigned",0.241052101224214,0.630389637615518,-0.11700099665754,0.552991452991453,4612,8531,13143
"KCNA2","unassigned",0.885759687377654,0.948214396158928,-0.215557980273911,0.536796536796537,"unassigned",0.222209869770735,0.613217474035556,-0.815052521131715,0.55948717948718,3773.5,9369,13142.5
"HERC2P3","unassigned",0.130575778843982,0.348843739571822,1.8850952110141,0.594155844155844,"unassigned",0.299392135382042,0.680181487626467,-0.0361834880028018,0.526666666666667,8155.5,4986.5,13142
"CLIC1","M19",0.49732096751724,0.713116349874078,-0.539825359302526,0.531385281385281,"M19",0.114150961998184,0.482208584172184,0.00469930565561664,0.562735042735043,3348,9793.5,13141.5
"ABHD8","unassigned",0.466855625412424,0.689694010717762,-0.874930286832811,0.454545454545455,"unassigned",0.037309622717568,0.320847355247146,-0.467756909194048,0.59974358974359,227,12905,13132
"KCNH5","unassigned",0.414045758111969,0.650122458677766,2.04484780704833,0.483766233766234,"unassigned",0.0448193949091984,0.34009447608387,-23.0793214832019,0.590854700854701,823.5,12308,13131.5
"UBE2Q1","unassigned",0.18669835878453,0.424130158562419,2.0323342407864,0.596320346320346,"unassigned",0.804037419461401,0.937030018133807,-0.00607148779918448,0.525470085470085,8313.5,4818,13131.5
"UBXN1","M6",0.345503360496215,0.590890764080131,-1.41971922436231,0.463203463203463,"M6",0.0174403254024273,0.243378868962725,0.0618257176660782,0.597948717948718,345,12785.5,13130.5
"MED28","unassigned",0.130040151767965,0.348450008033785,-2.64419039515956,0.623376623376623,"unassigned",0.91805905187417,0.976565632264478,-0.00613211953345607,0.512820512820513,10008.5,3118,13126.5
"HOXA5","unassigned",0.032269105422533,0.163163170460693,0.6399091729511,0.677489177489177,"unassigned",0.310582671258932,0.688325692792594,0.0622889315296807,0.482222222222222,12512,613.5,13125.5
"SLC35B1","unassigned",0.206831003999481,0.447471539316057,-0.872409378326117,0.581168831168831,"unassigned",0.407832074372845,0.756858755590593,-0.0157271295551714,0.533333333333333,7220.5,5904,13124.5
"YTHDF1","unassigned",0.100845797270163,0.30317346048593,-2.31193844086486,0.61038961038961,"unassigned",0.826818529409399,0.945079418449101,-0.0130011776425023,0.519059829059829,9237.5,3886.5,13124
"CHCHD6","unassigned",0.996799395454789,0.998547289117655,0.00420193300053275,0.510822510822511,"unassigned",0.0766655843695006,0.410228296264684,0.239809626872647,0.575726495726496,1996,11127,13123
"HHIP-AS1","unassigned",0.935212347206455,0.97178800351525,0.0820664758065135,0.510822510822511,"unassigned",0.0326422128738324,0.303552281696625,0.711921460054155,0.575726495726496,1996,11127,13123
"CNOT6L","M6",0.200705850709614,0.439939015582842,-1.78085603912457,0.588744588744589,"M6",0.528562163919528,0.820134933260531,-0.0299930725225283,0.529230769230769,7783.5,5338.5,13122
"TTLL11","unassigned",0.921656460133183,0.966282283403814,0.177661104241254,0.495670995670996,"unassigned",0.0822912997339625,0.421804516640981,0.667772930110125,0.584957264957265,1231,11890.5,13121.5
"CELF4","unassigned",0.134114153795348,0.354306219741617,3.53130935447715,0.614718614718615,"unassigned",0.89231374413291,0.968347084332149,0.240441956492307,0.516923076923077,9510,3610.5,13120.5
"MAP3K13","unassigned",0.0269360155337008,0.148190482101987,3.10418353841514,0.664502164502164,"unassigned",0.664963919257581,0.883282786129735,-0.0183508495411067,0.491623931623932,12025,1095.5,13120.5
"POLR2G","M30",0.782557044589723,0.893723560178624,-0.244268083203281,0.472943722943723,"M30",0.0221319130181056,0.261650762741165,0.0706529436408862,0.594700854700855,532,12587,13119
"SUCLA2","unassigned",0.724306594251322,0.863077153104473,0.216584383557857,0.547619047619048,"unassigned",0.302140659559719,0.681162720094501,0.0357491677984859,0.552820512820513,4612,8507,13119
"IPMK","M24",0.0535456857690913,0.214724617351855,1.54930007818825,0.652597402597403,"M24",0.828524665700848,0.945994085094526,-0.0180111732977709,0.497948717948718,11528,1589,13117
"FANCF","unassigned",0.41335672086017,0.650122458677766,-0.836832564197142,0.531385281385281,"unassigned",0.222518634086689,0.61357998812863,0.220143889127883,0.562564102564103,3348,9767,13115
"MCM8","unassigned",0.522936796052468,0.731979084341965,0.751025921142026,0.545454545454545,"unassigned",0.166073841388102,0.549891007851125,-0.197779917299241,0.554188034188034,4429.5,8685.5,13115
"TMEM145","unassigned",0.597914786062721,0.7844379522032,0.438157291502239,0.493506493506494,"unassigned",0.278876677731434,0.662971030853721,-0.956027784470238,0.585897435897436,1148,11966,13114
"CHRD","M10",0.707577194701656,0.853815243226878,-0.594645053645957,0.516233766233766,"M10",0.185027724421161,0.57324358045193,-0.231426822517539,0.572307692307692,2307,10805.5,13112.5
"HIST1H3A","unassigned",0.397226014340907,0.636182662816185,1.44993551750519,0.441017316017316,"unassigned",0.0209229264590988,0.255819185603634,-2.53886711895449,0.601623931623932,105,13006,13111
"DNHD1","unassigned",0.0815980773805853,0.271976299876929,3.9459458041774,0.626623376623377,"unassigned",0.676727908500317,0.88802869285769,-0.0715110390526204,0.511282051282051,10205.5,2904.5,13110
"ZNF562","unassigned",0.23794387773927,0.483492761031879,1.38830580886149,0.572510822510823,"unassigned",0.281512054894396,0.664292875393272,-0.0704196114584605,0.537948717948718,6564,6545,13109
"ACO1","unassigned",0.192163309086981,0.430675967688529,-1.34542443129478,0.581168831168831,"unassigned",0.474911093485052,0.792292979004576,-0.0207507667893674,0.532820512820513,7263.5,5844.5,13108
"ANKLE1","unassigned",0.725621931550688,0.864251655411236,-0.614281485207388,0.46969696969697,"unassigned",0.211731204082339,0.603167297533698,-0.67634731966779,0.595555555555556,455,12652.5,13107.5
"CGNL1","unassigned",0.117359805753964,0.328169312836286,1.38489557457968,0.625541125541126,"unassigned",0.940295957739133,0.983272739323337,-0.0201424000347612,0.511794871794872,10138.5,2968,13106.5
"PNPLA2","M25",0.154186281842029,0.382365981330479,1.75640465822531,0.423160173160173,"M25",0.0243173996634821,0.27433025476561,0.0247293991449903,0.602393162393162,39,13067,13106
"IPO5","unassigned",0.0767659226742921,0.261584720540716,-1.4144848524443,0.616883116883117,"unassigned",0.655080676810343,0.880210792845373,-0.0107872755264481,0.515726495726496,9642.5,3461.5,13104
"CES4A","unassigned",0.241568196152368,0.487124602235925,1.25095084121727,0.626623376623377,"unassigned",0.816410854411662,0.940699160103741,-0.0521026342907202,0.511196581196581,10205.5,2895,13100.5
"SCD","unassigned",0.441375460929851,0.670661489939471,0.306380360496704,0.537878787878788,"unassigned",0.36306154149205,0.729040725253023,-0.00526385888515365,0.558632478632479,3855,9245.5,13100.5
"COMP","unassigned",0.979874938011126,0.990968067444041,0.0242561274211383,0.535714285714286,"unassigned",0.367016832229639,0.731671339982601,-1.24597037195812,0.55982905982906,3681,9417.5,13098.5
"PGM2L1","unassigned",0.515856151984924,0.726726503768102,-0.417863512080812,0.481601731601732,"unassigned",0.0826721044320117,0.422432547444792,-0.243811841126202,0.591282051282051,750.5,12347,13097.5
"MAML3","unassigned",0.266242072339447,0.51238487162941,1.79838487718391,0.582251082251082,"unassigned",0.162733138824504,0.547429391967218,0.312633639438639,0.532307692307692,7329.5,5765.5,13095
