"Gene","Module","p","p.adj","coef","AUC"
"SFXN1","unassigned",0.491253939871048,0.709591899290807,0.755827994238952,0.55952380952381
"HIF1AN","unassigned",0.800993475671887,0.903771108155166,0.418932382271461,0.55952380952381
"SRR","unassigned",0.365732022940904,0.608611827003543,-0.960895253149322,0.55952380952381
"C1orf116","M20",0.492894236242112,0.710476541233887,-0.3265399674141,0.55952380952381
"HHAT","unassigned",0.793189411170657,0.89906695021818,0.235207959647376,0.55952380952381
"PDCD1LG2","M20",0.277029650495792,0.522846097030034,-1.60889724486264,0.55952380952381
"ACKR4","M11",0.289595137076707,0.534943266127953,-0.203915339132151,0.55952380952381
"VSX1","M20",0.460436137907127,0.684790773889749,1.71553485893822,0.55952380952381
"CSRNP2","unassigned",0.522536757269275,0.73185636410762,0.951397242420105,0.55952380952381
"NPAP1","unassigned",0.210010983468309,0.451319451985334,1.18166011707904,0.55952380952381
"GRWD1","M29",0.293859263474363,0.540092586490798,-1.32176836215952,0.55952380952381
"ETV7","M7",0.384412495970236,0.626053442650222,-0.422536595886726,0.55952380952381
"BLOC1S4","unassigned",0.371583458726693,0.613481287111593,-1.1368995971132,0.55952380952381
"PDZD4","M8",0.213647939812552,0.455409736456381,1.65828179901167,0.55952380952381
"SWT1","unassigned",0.47720345919606,0.69848624694722,0.855375371183112,0.55952380952381
"MIB1","unassigned",0.263055228159489,0.509312863170379,-0.860840203142162,0.55952380952381
"PHF19","M38",0.217832124502695,0.460579407485319,-1.17706696694878,0.55952380952381
"IFFO2","M20",0.451959113252056,0.678845004998242,-0.493908032936273,0.55952380952381
"PRIMPOL","unassigned",0.305260876200906,0.551383592301798,0.735112195143334,0.55952380952381
"ERMARD","unassigned",0.461701828851208,0.685816230616739,0.787151248321607,0.55952380952381
"MASTL","unassigned",0.459358034188051,0.684450954551776,0.564361621868818,0.55952380952381
"AP001816.1","unassigned",0.518305187766888,0.728350066861912,-0.717278189362943,0.55952380952381
"C4orf22","unassigned",0.298885090186512,0.544557347798407,2.23890298270923,0.55952380952381
"PIRT","M10",0.393253195124869,0.632591481501234,-0.925638287657609,0.55952380952381
