"","affected_Cor","affected_Pvalue","affected_Pvalue_FDR_Pvalue","anti_integrin_Cor","anti_integrin_Pvalue","anti_integrin_Pvalue_FDR_Pvalue","anti_TNF_Cor","anti_TNF_Pvalue","anti_TNF_Pvalue_FDR_Pvalue","Combined_Cor","Combined_Pvalue","Combined_Pvalue_FDR_Pvalue","corticosteroids_Cor","corticosteroids_Pvalue","corticosteroids_Pvalue_FDR_Pvalue","Disease.CD_Cor","Disease.CD_Pvalue","Disease.CD_Pvalue_FDR_Pvalue","disease_complication_Cor","disease_complication_Pvalue","disease_complication_Pvalue_FDR_Pvalue","Disease.CRC_Cor","Disease.CRC_Pvalue","Disease.CRC_Pvalue_FDR_Pvalue","disease_duration_Cor","disease_duration_Pvalue","disease_duration_Pvalue_FDR_Pvalue","Disease.UC_Cor","Disease.UC_Pvalue","Disease.UC_Pvalue_FDR_Pvalue","gender_Cor","gender_Pvalue","gender_Pvalue_FDR_Pvalue","immunosuppression_Cor","immunosuppression_Pvalue","immunosuppression_Pvalue_FDR_Pvalue","NANCYscore_Cor","NANCYscore_Pvalue","NANCYscore_Pvalue_FDR_Pvalue","NSAIDs_Cor","NSAIDs_Pvalue","NSAIDs_Pvalue_FDR_Pvalue","patient_age_Cor","patient_age_Pvalue","patient_age_Pvalue_FDR_Pvalue","sample_age_Cor","sample_age_Pvalue","sample_age_Pvalue_FDR_Pvalue","site_Cor","site_Pvalue","site_Pvalue_FDR_Pvalue"
"M19",-0.51146622824653,9.07982308884002e-07,1.58528803118666e-05,-0.111718765613768,0.317669726489685,0.487445708580372,0.0830321885515724,0.458313047936426,0.62330574519354,-0.560019508807739,4.49213419793147e-08,1.70701099521396e-06,-0.106974312891193,0.338783952816105,0.507782908397224,-0.323262655058233,0.00305349062157076,0.0179323176503156,-0.0329082396867853,0.769138883232152,0.868642864629318,0.557257223671275,5.39990885727911e-08,1.93796728989017e-06,-0.305305058498886,0.00528487141276967,0.0264653250592962,-0.336549987780225,0.00199134704003925,0.0123693287294745,-0.0648104206316967,0.56293858513987,0.718692343874222,0.178946968048411,0.107710407984808,0.240764441377807,-0.465358733395793,1.05698305330545e-05,0.000131309817776024,-0.115253173180114,0.30250311597614,0.476626860781919,0.303029829983041,0.0056520633444052,0.0274528791013967,-0.188322452915005,0.0901990267840305,0.205896011669554,-0.275120816301177,0.0123649397194888,0.0494329036731625
"M2",0.441901339277966,3.23545003131413e-05,0.000360362193142919,0.252466596268256,0.0221207057577981,0.0779894483705286,-0.150914865979341,0.175934923400929,0.331352654568513,0.436183244143919,4.19817535447257e-05,0.000444593652293325,0.121487740144181,0.276920810560829,0.447008648665126,0.227374817276392,0.0399419138730589,0.115189626616054,-0.0609216868871979,0.586644090176065,0.728233404729666,-0.416577707292073,9.90607990869179e-05,0.0009845119416946,0.218182669055153,0.0489312319011563,0.132257639364632,0.292885975338061,0.00757815713469972,0.0344752782325072,0.139579064757826,0.211054596319426,0.373917660430833,-0.119068863073363,0.286668924368861,0.45389246358403,0.53529797161563,2.20192084237684e-07,5.68976345670175e-06,0.125886032777813,0.259769497966526,0.427000243476784,-0.248811191833435,0.024192019191132,0.0835724299330013,0.056220444408828,0.615893178935198,0.749278707329826,0.158393870096176,0.155233141509984,0.310187314358645
"M20",-0.638669745150975,1.07698595854386e-10,1.15955488203222e-08,-0.2144970485642,0.0529753017154725,0.140254282410636,0.204336426539238,0.0655601163531462,0.162891673708202,-0.509501942651616,1.0156184841041e-06,1.61496745186385e-05,-0.0870452878701553,0.436801697011659,0.608133397132611,-0.211203854131908,0.0568168188556866,0.146814659923094,-0.127295827378115,0.254428057223932,0.423228145473335,0.547281452909659,1.03539503334752e-07,3.04029632519316e-06,-0.223597091331887,0.0434542117787542,0.122582623620416,-0.41066366138602,0.000127040076612903,0.00124345287108993,-0.0554160634564733,0.620959991965318,0.751481553190413,0.0818930117463858,0.464523861919287,0.629103594968259,-0.625433616627363,3.3487647835689e-10,2.70412756273188e-08,-0.177006968627157,0.111643628482886,0.244480623728624,0.357538604804371,0.000974903092077504,0.00723893560324216,-0.190041593400665,0.0872468413351314,0.20057458897685,-0.137479261894777,0.218070996805136,0.38177198898677
"M21",-0.54798891071798,9.89369430135359e-08,3.04029632519316e-06,-0.108458088279464,0.332087807962415,0.499125277681789,0.0969702415667092,0.386124364525035,0.562029644133594,-0.468072826852519,9.2366041080309e-06,0.000121772372526285,-0.109596684528821,0.32700672930977,0.493566231621756,-0.230978620868507,0.0368147689903933,0.11152854136242,-0.120405925424472,0.281252797654859,0.449726008131284,0.494081599881217,2.38957578148554e-06,3.43036878853257e-05,-0.170335823909319,0.126021332510945,0.26691731410515,-0.33070710809155,0.00240871200669633,0.0145423173488395,0.0609085516534932,0.586724925227986,0.728233404729666,-0.0343953170313442,0.759016866970871,0.86021911590032,-0.544719008362447,1.21970023618416e-07,3.42576675032594e-06,0.0531247176345271,0.635489591119643,0.756033657206795,0.363512098109101,0.000788426529509513,0.00606337545313268,-0.316920404352648,0.00372026974826554,0.019867580375001,-0.0955217913329916,0.39329243873741,0.565850591145583
"M22",-0.529121237117571,3.21227812228122e-07,7.41118452497738e-06,-0.252245548643168,0.0222415140909671,0.0779894483705286,0.12667983842537,0.256752626039693,0.424199990848189,-0.456167399486722,1.65466076392921e-05,0.000194347427908776,-0.11111390140311,0.320313442014593,0.488024725333554,-0.201536718153287,0.0694233918773359,0.169876936184693,0.018892681704217,0.86621424761174,0.926859232729224,0.458580589411793,1.47281168056348e-05,0.000176191915860001,-0.11273774914386,0.313247820737579,0.483911925550998,-0.351995891557961,0.00118287561616974,0.00830584400049623,0.0892426652764108,0.425269222462859,0.599701715726882,0.116266741458369,0.298242444992741,0.471062639279488,-0.525348982903066,4.03075820235228e-07,8.39957999586959e-06,0.0312243069225268,0.780647526142664,0.874000523203052,0.278768918482353,0.0112096209047645,0.0467188071256638,-0.295107781757519,0.00711285451792132,0.0332964059317186,-0.212764660154398,0.0549687031647068,0.144348708310571
"M23",-0.440440187581651,3.45967095525075e-05,0.000378804650354573,-0.284617905432127,0.00955321922445649,0.0413611211363766,0.222202994271198,0.0448133870951679,0.125867165493385,-0.369421579727021,0.000636490465213146,0.00507620790774929,0.0632955183272991,0.572119300974625,0.720852917777043,-0.046796133008094,0.676327082921067,0.793607254437969,-0.0333335232638601,0.766240099598933,0.866884596043626,0.391845126351389,0.000272041760631038,0.00254694170098044,-0.106536363864411,0.340776513651382,0.508469042431216,-0.431772951314297,5.1161109658474e-05,0.000533065755473778,0.0121161123377843,0.913967409728064,0.950761588863654,0.192698310535175,0.0828356391714993,0.194588446926504,-0.474897035737056,6.54727277250516e-06,8.99901747029433e-05,-0.236203382996828,0.0326463425261473,0.103889346166952,0.177708957624164,0.110207752929202,0.244480623728624,-0.119901481643915,0.283288121311172,0.450749079721718,-0.211631665287425,0.0563052820104695,0.146077157344431
"M24",-0.533788003112936,2.41656303997721e-07,6.0042297070203e-06,-0.275702439448158,0.0121740863306609,0.0494329036731625,0.112871575806303,0.312670044234953,0.483911925550998,-0.322685841630966,0.00310937288258051,0.0180821797972269,0.0628814078344481,0.574641014043904,0.720852917777043,-0.0357546636882094,0.749799528746241,0.855778260724508,-0.309295743108681,0.00469161820058809,0.0238644516344875,0.370737161032018,0.000606532817656891,0.00495974936970065,-0.144183070236578,0.196234644906023,0.359114959233118,-0.383603187925779,0.000374446713248165,0.00333426185442604,0.0131212717854309,0.906860770381613,0.946612479247121,0.0405787296290915,0.717378921723487,0.823201428059618,-0.495994211017406,2.15382953085804e-06,3.16221335666885e-05,-0.241643816284643,0.0287346979468916,0.095192896788164,0.252711036978271,0.0219877648680871,0.0779894483705286,-0.218711860038034,0.0483720186080549,0.131295479079006,0.0467083809687612,0.676900305255915,0.793607254437969
"M25",-0.223610804220382,0.0434410140196989,0.122582623620416,-0.261319586929881,0.0177215325972189,0.0669480120339382,-0.0488360149818273,0.663054413241034,0.783058776880636,0.00525858657990295,0.962602648409191,0.979387637188277,0.147892144728999,0.184851206437896,0.343143331491036,0.157963703009727,0.156372312047587,0.310187314358645,-0.377977833494089,0.000463479318003143,0.00393957420302672,0.028016354619502,0.802700917920876,0.889118868029472,-0.0536798829319583,0.63195630775428,0.754714230220815,-0.192088460763357,0.0838322128820224,0.195507615602117,0.0262431489582656,0.814958699005866,0.898401569211245,0.0405704645411261,0.717434061915735,0.823201428059618,-0.120407132831227,0.28124793773607,0.449726008131284,-0.318062661195509,0.00359135984917442,0.019867580375001,-0.0207203147011106,0.853409633338957,0.921293807898885,-0.157944698157697,0.156422783890809,0.310187314358645,0.293961714088859,0.00734962908395437,0.0339132884873894
"M26",-0.230822359006763,0.0369459873863124,0.11152854136242,-0.229441149910399,0.0381229156861939,0.112831145913862,0.0965052536761796,0.388416915115897,0.562594903957107,-0.306922043619745,0.00503692022902765,0.0254207067808739,-0.0436230572953803,0.697169220214291,0.808487550917666,-0.166539991711542,0.134811010925854,0.280928751800328,0.212153173877326,0.0556868046646505,0.145055144408727,0.278043753728672,0.0114314774973034,0.0473380414311408,0.059751786511643,0.593863498480051,0.732129427515483,-0.197839725565973,0.074803566377289,0.179639791374456,0.229172984471922,0.0383550073335532,0.112831145913862,0.111253018606262,0.319704148291363,0.488024725333554,-0.439768352370561,3.56755245198538e-05,0.000384106480663759,0.0186333825971804,0.868033801549815,0.926859232729224,0.129724624179467,0.245402678834719,0.413916789888326,-0.276163784222528,0.0120245273621745,0.0491635738985111,-0.0969153354231322,0.386394647889378,0.562029644133594
"M27",-0.270444719172795,0.0139961174086119,0.054140669736307,-0.215827810729785,0.0514846162285907,0.138579425348623,0.0608116584906161,0.587321368210768,0.728233404729666,-0.220785664363842,0.04623108521761,0.126612013096061,-0.0865640828759043,0.439350579392519,0.609908371337886,-0.0836150196221668,0.455153199046462,0.62294272581359,0.0781774617602386,0.485096814659923,0.6515504484708,0.202840987087076,0.0676014280466592,0.166047614137421,0.0604264035953072,0.589695592171566,0.729776537438375,-0.187920604279438,0.0909003441239281,0.206766275718512,0.170431805847781,0.125804894830205,0.26691731410515,0.0661432530983822,0.554919385474669,0.711265720271103,-0.311310894244481,0.0044151471453944,0.0230014923864902,0.136298747713376,0.22208709142004,0.387752056911745,0.127985008196493,0.251844358363698,0.420948405682604,-0.291003444591084,0.00799314571281027,0.0358581397949683,-0.0709860650830262,0.5262517788803,0.681279858029406
