"","MEdarkmagenta","MEplum1","MEpurple","MEturquoise","MEdarkgreen","MEdarkturquoise","MEsienna3","MEgreen","MEgreenyellow","MElightyellow","MEblack","MElightgreen","MEmagenta","MEpink","MEroyalblue","MEcyan","MEdarkorange","MEdarkolivegreen","MEmidnightblue","MEdarkgrey","MEdarkred","MEskyblue3","MEwhite","MEbrown","MEsteelblue","MEskyblue","MEyellowgreen","MEsaddlebrown","MEred","MEyellow","MEviolet","MEsalmon","MEgrey60","MEpaleturquoise","MEblue","MElightcyan","MEorange","MEtan"
"38",-0.112333308584527,0.0306804432456854,-0.138345690275619,-0.0758481749643327,0.0536898191120753,0.077376225310945,0.00677541700964686,-0.0147191336383434,0.0883132904002413,0.0858763414845302,-0.0669860548188383,-0.00230978234762387,0.0618092073304571,-0.0561755885612706,-0.0298678552762742,0.0664080620541582,0.0827921456069204,-0.00294899050289748,0.0887062558384897,0.0789062281523043,0.0954454461038343,-0.0334714587075755,0.0218478931082549,-0.0563912054958106,0.00245479792283583,0.219398877806325,0.102763903793399,0.0137155818182931,0.136116107660195,0.0950900431055253,0.0213428903102434,0.022546260946088,0.0609689004184392,0.0278699137414714,0.125542818151003,0.107528652404262,0.0918970039191299,0.0776851981865253
"52",-0.0492196036100295,-0.0847153016831459,-0.0774574457374788,0.0377156255531551,0.0237516450297417,-0.0278711372989719,-0.0924542835894466,-0.10239244998952,-0.10030884330963,-0.045688286456107,-0.0425248307837597,-0.108207558192301,0.287242988595735,0.156856996772871,0.247834445531877,0.0238245345268984,0.171994575488719,0.232333402263174,0.134106559542598,0.0844453954940705,0.0428402715079319,0.120702934786731,0.011348276708805,0.0258503513783008,0.0105651206023061,-0.0191441121264847,0.000801942090717198,-0.0228396139440637,0.0189706271433034,0.0773810598624756,0.00973885536932857,-0.0267067114776609,0.146548932109034,0.0776632834394353,0.059856413453372,0.109730368196754,0.126981074429965,0.137842186268439
"10",-0.0939489038112425,-0.144052337360802,-0.149504021332184,-0.101086852306801,-0.024776335203904,-0.0456942180753888,-0.0295492430420092,-0.138913876855169,-0.227870975241474,-0.0791782290575972,-0.0989648933420761,-0.18369501760804,0.0572321167844701,-0.0757934915234694,-0.00360742551887114,0.034875173146676,0.0322621691759278,0.0170595116345486,-0.0216367871001745,-0.0744557991521177,-0.0990625519633652,-0.0613962431276034,-0.138938066261283,0.0208986083068888,0.00911522929650638,-0.0651081719374011,0.0095146744678253,0.0216990655824407,-0.0169374663338134,0.0939434250544477,0.0018060519981121,0.0683290202230486,0.265105442946625,0.272324773451847,0.0576941779339372,0.126624853231859,0.353480842964614,0.212478761338002
"4",-0.139063937930586,0.145066172789874,-0.147696534230372,0.0653478925989309,-0.330133726238794,-0.131609757359185,-0.253935888337841,-0.325384142391217,-0.155438589867178,-0.246230780165589,-0.11812006785742,-0.139105365291986,0.461808002085409,0.210053911682614,0.357873985104804,-0.170834709670238,-0.0846348474826952,-0.0434158793433911,-0.132190784878142,-0.236364821576679,-0.102958678125607,-0.0601238829472688,-0.112081622151101,0.0205980121998647,0.0192658291752054,-0.303151953016638,-0.0593973294633233,-0.112331668533879,-0.16388046447033,-0.264673605649881,-0.0702108453607276,-0.145593954209774,-0.279077123764066,-0.127715226001265,-0.124434141218648,-0.253664216457737,-0.060466452520274,0.0896447753505507
"43",-0.0595713780618578,-0.163065258728143,-0.108655588151399,-0.0151995235447498,0.0639523048752067,0.0417638716695015,0.0472889876377367,-0.0364584663434279,-0.0356479379853009,-0.006162482254846,-0.0308995302834957,-0.0536632785237503,0.177122045080038,0.0200622005641945,0.127488680525711,0.0884260136331443,0.0994036236741074,0.126423769820383,0.0559271166856589,0.0530434784045239,-0.00504956918573502,0.010319433023385,-0.0342465956079408,-0.023405030516244,0.0171001294132382,0.0730547682298622,0.00202683530415142,0.000683112311144689,0.00732594344980272,0.0499364917736844,-0.0166683172883774,0.121039402308638,0.0810153539121806,0.0770730135683992,0.114735325845954,0.116644688803641,0.178904110027424,0.22212870041013
"46",-0.133314918559419,-0.104682377803361,-0.152349076711571,-0.12464834033087,0.1377756262422,0.154716149024679,0.0933897266630608,0.0598998261796072,0.113491791001443,0.0367082343234231,-0.112919794878417,-0.0382933705300423,0.059151257432281,-0.0955061503592599,-0.0336122701393461,0.160305902744337,0.175009181850183,0.0570745166346905,0.156287489593419,0.129414366907516,0.0826417535560697,-0.058379755250739,-0.033142683569165,-0.00731345815852982,0.0573370505417294,-0.0331283754213411,-0.020113323890754,-0.0184494878282318,0.0212598345165141,0.0537540053833453,0.00883715047197028,-0.0389469319610869,0.00257624289039506,-0.0288927463080884,0.280092431502965,0.176313386312959,-0.0296607154371087,0.0878196541964165
"28",-0.111053790443109,-0.15654140716359,-0.14558657138929,0.0175498011844232,0.12844856634841,0.109816756807592,0.0766447953581452,-0.0826054799531271,0.0102398738602609,0.0521358158809283,-0.0122152900538853,0.0105120369114353,0.265692430729385,0.0818352406317536,0.198685694964781,0.159996423681595,0.0223202602408667,0.0909885841896784,0.0587622368710803,0.0706869992774735,0.00511229202178852,0.0415237786533004,-0.0301625938375285,-0.044305081181631,-0.0209795838109252,0.0114224212547679,-0.0333600083808003,-0.0615583167628955,-0.0528733866530285,-0.0434298558795017,-0.0173293348383348,-0.034207213368857,-0.00132207734989,-0.0146129119032371,0.0142695902942677,0.0209233839287371,0.117855775094461,0.226409928821959
"23",0.196067516036108,0.0338501936787943,0.0426107002956447,0.0168271159016197,0.0409383725355978,-0.053907096766821,-0.0556471191992996,-0.0066244502288518,0.0407620787960348,0.0304324621153488,-0.0374127818177385,0.00684888437015091,-0.0558985941478977,-0.0143271032412741,-0.0860823330010255,0.0484753114640046,0.0918930694347676,0.0736002354684494,0.123546071447572,0.0977542699946087,0.0990077316847336,0.0578158516045865,0.0721110592366965,-0.0371674052242713,-0.0345165144351911,0.115701673442245,-0.0142138866686482,0.0537257882640507,0.0397119387363282,0.0578363015160224,-0.0148987615587878,0.115073716632918,-0.00455821130729577,-0.0343986896013928,0.0273599889007524,0.0594839258843647,-0.0426445215666533,-0.0051369183890028
"32",-0.0333994303513237,0.130020529480882,0.0826507922182829,0.0804180056346759,-0.0550266152387671,-0.00519498924103657,0.0289442103904853,0.175755804207268,0.0567830984942831,0.129986173017942,0.174985370554611,0.127378385012223,-0.0432721389849982,0.043362267716104,0.0818213579559443,-0.212108618957396,-0.143899804754655,-0.0868939932175179,-0.118733880536042,-0.0155913659057353,0.037370497759623,0.00776612718909368,0.118681186550704,-0.0255048027938978,-0.0295590565832291,0.0694140071740583,-0.0349123110018854,-0.0503440273525636,-0.0822291003811932,-0.109299677020742,-0.054839994609535,-0.00799501426610471,-0.112890164005959,-0.0846781705955328,-0.0513243688865479,-0.123448356752819,-0.046853271795719,-0.0431329611377449
"37",-0.045587272043246,0.104335221430645,0.10426357111422,0.0939427156772141,0.0101893090150298,0.0747921623755225,-0.00980308315170999,-0.0208110412741974,0.0410075413373082,0.0340257540665287,0.0547257909271702,0.0456357721523757,-0.029113522967082,0.126272400169252,0.0709739320227049,-0.0106679978230081,0.0217633929357535,0.044218465106589,0.0659180731358469,0.0226317828707828,0.0936964947884113,0.0747451673809072,0.130832878053861,0.0126370242987768,0.0169480918420282,0.0690159755439433,-0.0239328240763156,-0.0465059900719832,-0.0370380690425707,-0.0462955718787188,-0.0263669703858794,-0.0938682569325881,-0.0474949104936052,-0.0531351139416911,0.000742198749124067,-0.0613709923346254,-0.0583431158183546,-0.0299937789626122
