	22	29	15	24	36	5	20	25	3	31	38	52	10	4	43	46	28	23	32	37	48	12	14	35	50	6	21	30	42	75	26	55	57	58	60	64	65	66	71	72	73	78	81	85	86	90	92	96	11	13	56	59	61	67	68	69	74	76	77	80	82	83	84	87	89	91	93	94	95	47	16	19	45	8	1	34	9	18	2	40	33	17
DC	0.0117	0.0262	0.0412	0.0643	0.0183	0.021	0.0194	0.0222	0.0262	0.0252	0.041	0.0183	0.0567	0	0.0512	0.0334	0.0463	0.0158	0.0263	0.0249	0.054	0.0086	0.0079	0.014	0.0453	0.0429	0.0062	0.0212	0.0405	0.0241	0.0499	0.0202	0.0188	0.0365	0.0036	0.0197	0.0339	0.0145	0.0186	0.0312	0.0317	0.0255	0.032	0.0138	0.0185	0.0279	0.0155	0.0251	0.009	0.0338	0.027	0.0237	0.0309	0.0109	0.0301	0.0221	0.0243	0.0233	0.0206	0.0338	0.0388	0.0302	0.0254	0.0408	0.0195	0.0233	0.0185	0.0239	0.0291	0.0458	0.0177	0.0622	0.0664	0.0589	0.0223	0.0847	0.0863	0.0554	0.0337	0.0559	0.0335	0.0061
Endothelial cells	0.0555	0.1108	0.0939	0.1013	0.0352	0.0267	0.0227	0.0544	0.0419	0.0227	0.056	0.0373	0.1094	0	0.024	0.0312	0.0352	0.0423	0.0063	0.0098	0.0374	0.013	0.0081	0.0135	0.0475	0.016	0.1161	0.0168	0.0221	0.0204	0.0195	0.021	0.0082	0.0266	0.0712	0.0196	0.0172	0.0295	0.0088	0.0307	0.0206	0.0121	0.0154	0.0344	0.0166	0.0256	0.0128	0.0192	0.049	0.0366	0.0257	0.0316	0.0078	0.0231	0.0084	0.0225	0.0109	0.0136	0.0334	0.0244	0.0145	0.0085	0.0182	0.0203	0.015	0.0389	0.0103	0.0177	0.0181	0.0067	0.1824	0.0342	0.0562	0.0433	0.0302	0.12	0.09	0.0096	0.1764	0.0531	0.0324	0.0505
Eosinophils	0	0	0	0	0	0.0236	0	0	0	0	0	0.0303	0	0	0.0249	0.0061	0.009	0	0.0019	9e-04	0	0	0.0222	0.0014	0	0.0107	0	0.0093	0.0126	0.0123	0.0103	0	0.0039	0.0074	0	0.0064	0	0	5e-04	0.0069	0	0.0063	0.0175	0	0	0	0	0.0061	0.0062	0.0127	0.0067	0.0048	0	0	0.0148	0	0.0056	0	0	0	0	0.0109	0	0.0046	0.0055	0.0041	0	0	0	0	0	0	0	4e-04	0.0019	0	0.0026	0	0	0	0	0
Epithelial cells	0.1548	0.0711	0	0.005	0.1899	0.2025	0.1598	0.1145	0.1758	0.2204	0.1111	0.193	0.1313	0.1828	0.1437	0.0712	0.1492	0.212	0.2222	0.2091	0.1502	0.1991	0.2125	0.2126	0.1318	0.1917	0.0579	0.189	0.0998	0.1804	0.2081	0.2166	0.225	0.2185	0	0.2176	0.2127	0.2215	0.226	0.2285	0.2379	0.2206	0.2162	0.2253	0.2227	0.1918	0.2253	0.2255	0.0316	0.1763	0.2227	0.2129	0.2358	0.2311	0.2158	0.2253	0.2287	0.2286	0.2187	0.2239	0.224	0.2275	0.2093	0.2089	0.2196	0.216	0.2089	0.2355	0.2088	0.0508	0	0.1807	0.0849	0.068	0.0923	0	0.0542	0.1721	0.001	0.2178	0.2124	0.1809
Erythrocytes	0	0	0	0	0.0012	0.0056	8e-04	0	8e-04	0.0011	3e-04	9e-04	0	0	0	0	0	0.0034	0.0041	0.0068	0.0015	0.0041	0.0088	0.0031	0.0016	5e-04	2e-04	0.0023	0	0.0026	0.0034	0.0022	0.0031	0.0042	0	0.0048	0.005	0.0056	0.004	0.0034	0.0087	0.0063	0.001	0.0052	0.0087	0.0103	0.0025	0.0042	0	0.0087	0.0029	0.0041	0.0081	0.0041	0.0035	0.0079	0.0078	0.0062	0.0081	0	0.0053	0.0061	0.004	0.0077	0.0023	0.0039	0.0043	0.007	0.0013	0	0	0.0071	2e-04	0.0012	0	0.0027	0	0.0016	0	0.0065	0.0023	0
Fibroblasts	0.2071	0.3132	0.1446	0.376	0.1217	0.0725	0.1004	0.2233	0.0694	0.0404	0.1875	0.0961	0.1206	0	0.0796	0.1324	0.0333	0.1784	0.0417	0.0148	0.059	0	0.0364	0.1101	0.1182	0.0687	0.3551	0.0595	0.0956	0.0446	0.0445	0.0341	0.0146	0.0083	0.4288	0.0147	0	0.0932	0	0.0643	0.1041	0.0299	0.0106	0.1049	0.0232	0.0903	0.0478	0.0869	0.1915	0.0945	0.0305	0.1035	0.049	0.0479	0	0.071	0.035	0.0813	0.1585	0.0732	0.1091	0.0435	0.0051	0.0982	0	0.1102	0.029	0.1257	0.0936	0.1108	0.4411	0.0545	0.1476	0.1458	0.0961	0.3142	0.2464	0.0717	0.3116	0.146	0.054	0.103
GMP	0.0081	0.0226	0.0838	0.0386	0.0255	0.1922	0.1248	0.1953	0.0347	0.1487	0.1405	0.095	0.1077	0	0.1745	0.1135	0.0514	3e-04	0.0464	0.0605	0.0455	0.0812	0.0736	0.0486	0.0644	0.0303	0.1483	0.0569	0.0674	0.0571	0.1326	0	0.0558	0.0747	0	0.0845	0.0305	0.0166	0.0243	0.0591	0.0154	0.0166	0.082	7e-04	0.0626	0.0192	0	0.076	0.142	0.1613	0.0295	0.0697	0.0036	0.0315	0.071	0.0112	0.0683	0	9e-04	0	0.0436	0.0446	0.0688	0.0258	0.1225	0.0525	0.0077	0.0036	0	0	0.0365	0.0296	0.2393	0.1356	0.081	0.14	0.1646	0.0206	0	0	0.0345	0.0415
Hepatocytes	0.0045	0.0104	2e-04	0.0022	0	3e-04	0	0	0.0065	0.0074	0.0036	0.0081	0.0029	0.0113	0.0049	7e-04	0.0059	0.0033	0	0.0028	0.0043	0	0.0025	0	0	0.0131	0.0016	0.0013	0.0045	0.0022	3e-04	0.0027	0.002	5e-04	0.0027	0.001	0.0032	5e-04	0	0.0019	0.001	0	0.0033	0.0011	4e-04	0	0.0022	0	0.0043	0	6e-04	0.001	9e-04	0.0028	0	0	9e-04	0.0019	0	0	4e-04	0.0019	0.0032	0	0	0.0019	0.0019	8e-04	0.0016	0.0028	0.0066	0.0015	0.0034	0.0021	3e-04	0.0042	0.001	0.0024	0.0032	0.0024	0.0013	0.0087
HSC	0.2145	0.3878	0.159	0.2579	0.2374	0.0956	0.1356	0.3288	0.1847	0.069	0.2003	0.067	0.2067	0.0199	0.0446	0.1597	0.0044	0.1189	0.094	0.0359	0	0	0.1485	0.1753	0.1052	0.0517	0.4145	0.0675	0.0833	0.1117	0.1127	0.0231	0.1022	0.0961	0.3176	0.0866	0.0968	0.162	0.0233	0.0869	0.2171	0.0637	0.0792	0.104	0.0831	0.2033	0.1559	0.0354	0.2606	0.0786	0.0708	0.1957	0.0699	0.11	0.0785	0.0673	0.042	0.0982	0.2681	0.1286	0.1265	0.0947	0.056	0.0394	0.0878	0.1704	0.1112	0.0916	0.1458	0.1201	0.618	0.1226	0.2563	0.154	0.1993	0.4182	0.2652	0.0901	0.2785	0.2028	0.0633	0.2631
iDC	0.3858	0.7528	0.6261	0.6438	0.4739	0.4214	0.4066	0.4021	0.361	0.3602	0.4971	0.258	0.6622	0	0.5722	0.6824	0.6011	0.3089	0.3956	0.3351	0.7077	0.1578	0.1816	0.4128	0.7175	0.5136	0.2633	0.429	0.6547	0.327	0.74	0.3391	0.3961	0.6397	0.3109	0.3313	0.4812	0.3455	0.3215	0.5348	0.5348	0.4813	0.2621	0.3277	0.4222	0.5181	0.3346	0.5611	0.3585	0.5036	0.5181	0.4661	0.5765	0.2104	0.509	0.4161	0.4655	0.3272	0.5518	0.5191	0.6527	0.3603	0.3609	0.7106	0.383	0.3242	0.3227	0.4921	0.5486	0.8012	0.5734	0.691	0.736	0.808	0.5316	1.1624	0.8991	0.5813	0.571	0.8792	0.4881	0.1982
