"","M19","M6","M14","M37","M29","M31","M18","M32","M33","M27","M34","M38","M26","M2","M3","M17","M28","M11","M35","M5","M4","M24","M23","M16","M8","M25","M9","M1","M30","M12","M21","M15","M7","M20","M13","M22","M10","M36"
"38",-0.0091811740133385,0.105170436878139,-0.109124557624174,0.0691503734981514,0.109836078655381,0.128788440220967,-0.102700811716011,0.0182053317539794,0.0768237367234558,0.174503026451484,0.144111797247175,0.0173568120870636,0.156511953921045,0.0166580294828897,0.0738258597743826,0.097549069570148,0.182787304440738,0.022994366893933,0.120307220852742,0.0447960741610935,-0.0260930421760623,-0.0295261293817578,0.103076545664593,-0.11947884596457,0.164810419963138,-0.0372274878953536,-0.0155555683648085,-0.032448806244579,0.0709536258311004,0.23036678218111,0.0256564909083049,-0.0263717610500614,0.0344768049159284,-0.030405590606491,-0.00307774718483395,0.114035867603115,0.0739980957318502,0.330606092009984
"52",0.0278173622331692,0.00684646827608085,-0.0113927336866029,0.0178720747609709,0.0738012466541909,0.137970429421253,0.0173001069441695,0.3436438002607,0.198317447062876,0.0937855321382958,-0.00461107840604721,-0.117283673168899,-0.0875576469341092,0.123245847059084,0.0773783765263659,-0.0712059019592896,-0.0144738623206992,0.272241725610641,0.181410221223626,0.0867625388742159,0.0316725420033366,0.261512946709871,-0.0607575033416242,-0.0151698888716543,0.0040639589624281,0.286191667249992,-0.0538328485454943,-0.0969204344920793,-0.0895226412306263,-0.0647846601370707,0.27312466072319,-0.0166655550374383,0.123781964605409,0.132586922533063,-0.0146714687456965,0.0945735967715992,0.0528112884127106,-0.0446836558172035
"10",-0.0609784284171832,0.00214520075180172,-0.0165409039693863,0.0314844536845627,0.00577982402284259,-0.0675418386745945,-0.0816590837583335,0.0435278585524661,0.00928878690354232,-0.109277823744186,-0.0293198925644651,-0.172304099660029,-0.250967723476952,0.264473234524045,0.100488309166724,-0.184662659558717,-0.058828962231218,0.0185263717193043,-0.0247508561681535,0.357600062979173,0.257073637671928,-0.056466424891026,-0.148355053726239,-0.134854568900882,-0.0450496710111191,-0.00426042467394466,-0.0094460892632564,0.024459341601514,0.0112258208718129,-0.121092328569025,-0.0169361071280862,-0.0159702299399483,0.232202298633111,-0.0656710526617659,-0.0242260759789924,-0.141631081983986,0.0732443951473797,0.0112917500935153
"4",-0.0908637025421715,-0.271295611689039,-0.0187432671921493,-0.236442826729884,-0.401009530621714,-0.277574866015509,-0.155561428586322,-0.0405252706205182,-0.150193598237384,-0.118307852626808,-0.151969407698785,-0.466587645197287,-0.156565484309103,-0.397752506609028,-0.413730643527022,-0.112501048828697,-0.307397531328019,0.462921243855801,-0.174674005244677,-0.142323411348405,-0.208771325415663,0.333766426122736,0.261344452190082,-0.131658223440635,-0.247118910392118,0.409974110885359,-0.154377000318153,-0.245819529925111,-0.33795192790359,-0.417390606199299,-0.0114419720910066,-0.00884469629768965,0.0553071001675631,0.171725829268596,-0.0995163981915939,-0.103170947264266,-0.373524107243319,-0.191893333791726
"43",0.0471297337741206,0.0882415609085737,-0.0690082963441745,0.10089246687846,0.124400896144218,0.0968155137681369,-0.00751159976660437,0.196179318441987,0.100351559944138,0.0274659634178468,0.0945555699479527,-0.0144122184443948,-0.00455584555189064,0.0421904809919198,0.0877404169591546,0.016186782479478,0.0450724061279104,0.152588941022908,0.0762314544749468,0.150761118432478,0.032569991012086,0.0743288016380086,-0.176283765343212,-0.0681813814494797,-0.0125174071491752,0.146627235859761,-0.0288091068169231,0.0927447714252447,0.131319724927527,0.0506841785057376,0.0975375831290174,-0.0109567450034117,0.247508302103395,0.0571940972289146,-0.0433601455944646,0.0219377225907538,0.0173873303207177,-0.0166807182692607
"46",-0.083738651297275,0.33480392386211,-0.0509655692332807,0.192003629903347,0.2219087963897,0.195835268644984,-0.144043548567385,0.102359985159163,0.202375741215459,0.155505008632091,0.256655265572059,0.135460438356651,0.18780656010736,-0.0540988451382562,0.16690899281456,0.0428849832077278,0.109235507754341,0.0199196430855398,0.210899864480331,-0.102143293801508,-0.0926523139528213,-0.0836643978425052,-0.0915252693808542,-0.142105562763307,0.00712872129251725,-0.0409536318736108,-0.05222524948345,-0.110798859620392,0.203360801274988,-0.0805923943426506,-0.0133018310671548,0.0337321282874515,0.0529911107344383,-0.0994174349063334,-0.0159478322317421,0.0229800932472603,0.022547576587186,-0.068539152382675
"28",0.0772688355057336,-0.0614260314514164,-0.0938343725518236,0.190628232732435,0.209371074849589,0.120012313888053,-0.108625613087377,0.146819567399363,-0.00391890572125958,0.0416956521505899,0.19299148286201,-0.0883651196824992,0.0544198678622685,-0.05828949405525,-0.0404236068238491,0.117909451476062,0.135403984344524,0.249360736628814,0.081144043749012,0.0762057185231073,-0.0764795473043232,0.159231968445413,-0.166273710898339,-0.129119827983572,-0.0952826968972019,0.227069556952556,-0.0973110860715907,-0.104330837071582,0.181707812850641,-0.0245222610710316,0.148310972843312,-0.0488658930927439,0.254480548048455,0.102572876582906,-0.0461913641691213,0.0293120638653027,-0.0989255983800949,-0.121372954183689
"23",0.0365654753403976,-0.0401195208153132,-0.0868512993282771,0.048545220765847,0.0947735805759444,0.154986751048614,0.545901769246126,0.12395082264499,0.0903498940949863,0.177687696092637,-0.0405852563740993,0.0313566287981666,0.0955072046036062,-0.0617600828829693,0.00995361166212129,0.11302558855849,0.100229811684148,-0.103841152818363,0.167083603215256,-0.118714237206334,-0.0984800251646767,0.027950780015903,0.105669151949995,0.183362458284127,0.0323543358387128,-0.102299147549833,0.0309557716843511,0.0844438794409027,-0.0317435746445577,0.100750454259223,0.174677873541382,-0.063463065333546,-0.0868369413727879,0.102821015302745,-0.0405768014007825,0.19451026431841,0.0282159607303259,-0.038514033500869
"32",0.378759158767178,-0.158503605212486,-0.0726471690802181,-0.288353335133271,-0.0331711375788371,0.0086729495489892,0.042674078366432,-0.101202202810885,-0.232124152688872,0.0869610586079921,0.0292664117818207,0.312536690066652,0.116447699400222,-0.195462848844972,-0.238430516985883,0.301833451049649,0.245797177589886,-0.0912549946984214,-0.15608118031473,-0.122502763864909,-0.15600451857043,0.107300845172284,0.241752569746629,0.248662707664318,-0.134496048518832,0.0961062463347878,-0.0848871713618251,-0.0701297058626262,0.101836533763888,0.044563330112812,0.0937905849468861,-0.0569878901860264,-0.144726340737421,0.192590107970968,-0.0855468445010344,0.265650764122154,-0.179259206978549,-0.0917387762831902
"37",0.186286190200468,-0.0805814340381233,-0.0263626893777576,-0.0280932333771604,0.0524526995088132,0.0577048347679375,0.0238394122507942,0.0826707216145658,-0.00605585878470803,0.170445264864899,0.143277420802557,0.00916019094441322,0.0964104224541797,-0.114429969861411,-0.152179538060885,0.173300605511227,0.104547708524666,-0.0754280105273088,0.0923146726596701,-0.136683826116304,-0.120383010440356,0.221046117271309,0.206057190025629,0.28998906890128,-0.07237873261759,0.0819486458162065,-0.0813491155283272,-0.180982043135143,0.0431984676647024,0.0446122239247679,0.200866783732584,-0.00668683190123573,-0.123667765296676,0.213436113595494,-0.0558140748002535,0.285581194417159,-0.101181639606072,-0.0866014492706231
